G,Point Latency,Time Received,Time Captured,MPH,Address,I0,Engine On,I1,I2,I3,I4,I5,GPS,Event Code,Sat,HDOP,RSSI,C,F,Seq,Index,Lat, Lon,Triggered By,Δ Odo hm,Δ Eng min
TX,4 secs,2020-03-09 11:58.24pm,2020-03-09 11:58.20pm,56,Eisenhower Expy E [I-290] Addison IL 60101,+,+,-,-,-,-,-,3,8,8,1.2,-66,0,0,436,Serial,41.9547283,-88.0169073,Moving,30,2
TX,4 secs,2020-03-09 11:56.24pm,2020-03-09 11:56.20pm,53,I-290 Itasca IL 60143,+,+,-,-,-,-,-,3,8,7,1.1,-56,0,0,435,Serial,41.977098,-88.0237751,Moving,30,2
TX,4 secs,2020-03-09 11:54.24pm,2020-03-09 11:54.20pm,56,IL-390 Tlwy E [IL-390] Elk Grove Village IL 60007,+,+,-,-,-,-,-,3,8,9,0.8,-56,0,0,434,Serial,41.9920754,-88.0468072,Moving,34,2
TX,4 secs,2020-03-09 11:52.24pm,2020-03-09 11:52.20pm,56,IL-390 Tlwy E [IL-390] Roselle IL 60172,+,+,-,-,-,-,-,3,8,7,1.1,-60,0,0,433,Serial,41.9960236,-88.0856,Moving,29,2
TX,4 secs,2020-03-09 11:50.24pm,2020-03-09 11:50.20pm,40,IL-390 Tlwy E [IL-390] Schaumburg IL 60193,+,+,-,-,-,-,-,3,8,8,0.8,-67,0,0,432,Serial,41.9947053,-88.1198706,Moving,17,2
TX,6 secs,2020-03-09 11:48.44pm,2020-03-09 11:48.38pm,3,N Gary Ave [Cr-23] Roselle IL 60172,+,+,-,-,-,-,-,3,5,8,1,-66,0,0,431,Serial,41.9824865,-88.1186864,Started Moving,0,0
TX,14 secs,2020-03-09 11:48.34pm,2020-03-09 11:48.20pm,2,1600 Central Ave Roselle IL 60172,+,+,-,-,-,-,-,3,0,8,0.8,-67,0,0,430,Serial,41.9824758,-88.1188031,,0,0
TX,18 secs,2020-03-09 11:48.34pm,2020-03-09 11:48.16pm,9,Central Ave Hanover Park IL 60133,+,+,-,-,-,-,-,3,2,7,1.1,-64,0,0,429,Serial,41.9823779,-88.1187763,Stopped Moving,9,2
TX,11 secs,2020-03-09 11:46.54pm,2020-03-09 11:46.43pm,17, Hanover Park IL 60133,+,+,-,-,-,-,-,3,3,11,0.6,-79,0,0,428,Serial,41.9831705,-88.1267518,Roll,2,0
TX,4 secs,2020-03-09 11:46.24pm,2020-03-09 11:46.20pm,0, Hanover Park IL 60133,+,+,-,-,-,-,-,3,8,4,5.3,-81,0,0,427,Serial,41.9840704,-88.1258519,Moving,0,1
TX,7 secs,2020-03-09 11:46.04pm,2020-03-09 11:45.57pm,0, Hanover Park IL 60133,+,+,-,-,-,-,-,3,5,8,1.1,-77,0,0,426,Serial,41.9840704,-88.1258506,Started Moving,0,1
