G,Point Latency,Time Received,Time Captured,MPH,Address,I0,Engine On,I1,I2,I3,I4,I5,GPS,Event Code,Sat,HDOP,RSSI,C,F,Seq,Index,Lat, Lon,Triggered By,Δ Odo hm,Δ Eng min
LA,5 secs,2020-03-11 12:26.40pm,2020-03-11 12:26.35pm,0, Morrow GA 30260,-,-,-,-,-,-,-,3,38,18,0.6,-63,0,0,189,Serial,33.601067,-84.3387201,Ignition Off,1,1
LA,4 secs,2020-03-11 12:26.00pm,2020-03-11 12:25.56pm,0, Morrow GA 30260,+,+,-,-,-,-,-,3,0,18,0.6,-64,0,0,188,Serial,33.6010522,-84.338755,,0,2
LA,4 secs,2020-03-11 12:24.00pm,2020-03-11 12:23.56pm,0, Morrow GA 30260,+,+,-,-,-,-,-,3,0,15,0.6,-57,0,0,187,Serial,33.6010522,-84.3387536,,0,1
LA,26 secs,2020-03-11 12:22.46pm,2020-03-11 12:22.20pm,0, Morrow GA 30260,+,+,-,-,-,-,-,3,2,17,0.6,-60,0,0,186,Serial,33.6010764,-84.3388408,Stopped Moving,0,1
LA,40 secs,2020-03-11 12:22.37pm,2020-03-11 12:21.57pm,10, Morrow GA 30260,+,+,-,-,-,-,-,3,8,18,0.6,-56,0,0,185,Serial,33.6007585,-84.3390259,Moving,10,1
LA,7 secs,2020-03-11 12:20.55pm,2020-03-11 12:20.48pm,7,Jonesboro Rd [Ga-54] Morrow GA 30260,+,+,-,-,-,-,-,3,5,18,0.6,-77,0,0,184,Serial,33.6075177,-84.3438632,Started Moving,0,0
LA,4 secs,2020-03-11 12:20.30pm,2020-03-11 12:20.26pm,2,Jonesboro Rd [Ga-54] Morrow GA 30260,+,+,-,-,-,-,-,3,2,17,0.6,-77,0,0,183,Serial,33.6075405,-84.3439357,Stopped Moving,4,1
LA,3 secs,2020-03-11 12:20.00pm,2020-03-11 12:19.57pm,37,5309 Jonesboro Rd [Ga-54] Morrow GA 30260,+,+,-,-,-,-,-,3,8,18,0.6,-81,0,0,182,Serial,33.6104909,-84.3467024,Moving,5,0
LA,4 secs,2020-03-11 12:19.25pm,2020-03-11 12:19.21pm,7,1211 Forest Pkwy [Ga-331] Morrow GA 30260,+,+,-,-,-,-,-,3,5,18,0.6,-78,0,0,181,Serial,33.6143198,-84.3494865,Started Moving,0,2
LA,5 secs,2020-03-11 12:18.05pm,2020-03-11 12:18.00pm,0,1211 Forest Pkwy [Ga-331] Morrow GA 30260,+,+,-,-,-,-,-,3,2,17,0.6,-78,0,0,180,Serial,33.6144445,-84.3496917,Stopped Moving,0,0
LA,4 secs,2020-03-11 12:18.01pm,2020-03-11 12:17.57pm,7,1211 Forest Pkwy [Ga-331] Morrow GA 30260,+,+,-,-,-,-,-,3,8,15,0.6,-78,0,0,179,Serial,33.6144579,-84.3497306,Moving,19,2
LA,5 secs,2020-03-11 12:16.01pm,2020-03-11 12:15.56pm,36,671 Forest Pkwy [Ga-331] Forest Park GA 30297,+,+,-,-,-,-,-,3,8,15,0.6,-76,0,0,178,Serial,33.6211447,-84.3683263,Moving,15,2
LA,4 secs,2020-03-11 12:14.21pm,2020-03-11 12:14.17pm,10,201 Forest Pkwy [Ga-331] Forest Park GA 30297,+,+,-,-,-,-,-,3,5,16,0.6,-61,0,0,177,Serial,33.6197526,-84.3833454,Started Moving,0,1
LA,5 secs,2020-03-11 12:14.01pm,2020-03-11 12:13.56pm,0,201 Forest Pkwy [Ga-331] Forest Park GA 30297,+,+,-,-,-,-,-,3,0,15,0.6,-66,0,0,176,Serial,33.6197445,-84.3834674,,0,1
LA,4 secs,2020-03-11 12:13.01pm,2020-03-11 12:12.57pm,1,201 Forest Pkwy [Ga-331] Forest Park GA 30297,+,+,-,-,-,-,-,3,2,16,0.6,-65,0,0,175,Serial,33.6197311,-84.3834661,Stopped Moving,8,1
LA,7 secs,2020-03-11 12:12.03pm,2020-03-11 12:11.56pm,25,Forest Pkwy [Ga-331] Forest Park GA 30297,+,+,-,-,-,-,-,3,8,17,0.6,-52,0,0,174,Serial,33.6184316,-84.3918118,Moving,2,0
LA,21 secs,2020-03-11 12:11.54pm,2020-03-11 12:11.33pm,6,Farm Dr Forest Park GA 30297,+,+,-,-,-,-,-,3,5,16,0.6,-50,0,0,173,Serial,33.6188447,-84.3935834,Started Moving,0,1
LA,58 secs,2020-03-11 12:11.33pm,2020-03-11 12:10.35pm,0,Farm Dr Forest Park GA 30297,+,+,-,-,-,-,-,3,2,17,0.6,-57,0,0,172,Serial,33.6189117,-84.3935606,Stopped Moving,1,0
LA,8 secs,2020-03-11 12:10.21pm,2020-03-11 12:10.13pm,9,Farm Dr Forest Park GA 30297,+,+,-,-,-,-,-,3,5,17,0.6,-57,0,0,171,Serial,33.6195729,-84.3936759,Started Moving,0,1
LA,4 secs,2020-03-11 12:10.00pm,2020-03-11 12:09.56pm,7, Forest Park GA 30297,+,+,-,-,-,-,-,3,0,17,0.6,-55,0,0,170,Serial,33.6192524,-84.3940112,,0,2
LA,6 secs,2020-03-11 12:08.01pm,2020-03-11 12:07.55pm,0, Forest Park GA 30297,+,+,-,-,-,-,-,3,0,15,0.6,-57,0,0,169,Serial,33.6191665,-84.3939991,,0,2
LA,6 secs,2020-03-11 12:06.01pm,2020-03-11 12:05.55pm,0, Forest Park GA 30297,+,+,-,-,-,-,-,3,0,15,0.6,-55,0,0,168,Serial,33.6191665,-84.3940004,,0,2
LA,5 secs,2020-03-11 12:04.00pm,2020-03-11 12:03.55pm,0, Forest Park GA 30297,+,+,-,-,-,-,-,3,0,16,0.6,-49,0,0,167,Serial,33.6191679,-84.3940004,,0,2
LA,6 secs,2020-03-11 12:02.01pm,2020-03-11 12:01.55pm,0, Forest Park GA 30297,+,+,-,-,-,-,-,3,0,15,0.6,-58,0,0,166,Serial,33.6191706,-84.3940071,,0,2
