G,Point Latency,Time Received,Time Captured,MPH,Address,I0,Engine On,I1,I2,I3,I4,I5,GPS,Event Code,Sat,HDOP,RSSI,C,F,Seq,Index,Lat, Lon,Triggered By,? Odo hm,? Eng min
TX,10 secs,2020-03-12 11:27.44am,2020-03-12 11:27.34am,60,I-77 Hillsville VA 24343,+,+,-,-,-,-,-,3,8,16,0.6,-61,0,0,1277,Serial,36.7881953,-80.8347866,Moving,33,2
TX,9 secs,2020-03-12 11:25.43am,2020-03-12 11:25.34am,54,I-77 Austinville VA 24312,+,+,-,-,-,-,-,3,8,15,0.6,-72,0,0,1276,Serial,36.8127805,-80.8551004,Moving,35,2
TX,37 secs,2020-03-12 11:24.11am,2020-03-12 11:23.34am,67,I-77 Austinville VA 24312,+,+,-,-,-,-,-,3,8,15,0.6,-54,0,0,1275,Serial,36.8419066,-80.8575935,Moving,36,2
TX,3 secs,2020-03-12 11:21.37am,2020-03-12 11:21.34am,68,I-77 Austinville VA 24312,+,+,-,-,-,-,-,3,8,18,0.6,-47,0,0,1274,Serial,36.8720989,-80.872178,Moving,36,2
TX,3 secs,2020-03-12 11:19.37am,2020-03-12 11:19.34am,63,I-77 Max Meadows VA 24360,+,+,-,-,-,-,-,3,8,16,0.6,-66,0,0,1273,Serial,36.9032594,-80.8775209,Moving,37,2
TX,3 secs,2020-03-12 11:17.37am,2020-03-12 11:17.34am,69,I-77 Max Meadows VA 24360,+,+,-,-,-,-,-,3,8,15,0.6,-58,0,0,1272,Serial,36.9268401,-80.9069045,Moving,36,2
TX,7 secs,2020-03-12 11:15.42am,2020-03-12 11:15.35am,68,I-77 [I-77/I-81/Us-11] Max Meadows VA 24360,+,+,-,-,-,-,-,3,8,16,0.6,-53,0,0,1271,Serial,36.94765,-80.9322635,Moving,38,2
TX,3 secs,2020-03-12 11:13.37am,2020-03-12 11:13.34am,68,I-77 [I-77/I-81/Us-11/Us-52] Wytheville VA 24382,+,+,-,-,-,-,-,3,8,16,0.6,-42,0,0,1270,Serial,36.9409471,-80.9737184,Moving,37,2
TX,3 secs,2020-03-12 11:11.37am,2020-03-12 11:11.34am,63,I-77 [I-77/I-81/Us-11/Us-52] Wytheville VA 24382,+,+,-,-,-,-,-,3,8,16,0.6,-74,0,0,1269,Serial,36.9408466,-81.0135599,Moving,36,2
TX,3 secs,2020-03-12 11:09.37am,2020-03-12 11:09.34am,63,I-77 [I-77/I-81/Us-52] Wytheville VA 24382,+,+,-,-,-,-,-,3,8,16,0.6,-53,0,0,1268,Serial,36.9471042,-81.0513791,Moving,34,2
TX,8 secs,2020-03-12 11:07.42am,2020-03-12 11:07.34am,60,I-77 Wytheville VA 24382,+,+,-,-,-,-,-,3,8,16,0.6,-56,0,0,1267,Serial,36.9717791,-81.0675045,Moving,36,2
TX,8 secs,2020-03-12 11:05.42am,2020-03-12 11:05.34am,74,I-77 Wytheville VA 24382,+,+,-,-,-,-,-,3,8,16,0.6,-78,0,0,1266,Serial,36.9993321,-81.0873596,Moving,39,2
TX,3 secs,2020-03-12 11:03.37am,2020-03-12 11:03.34am,63,I-77 Dublin VA 24084,+,+,-,-,-,-,-,3,8,14,0.6,-70,0,0,1265,Serial,37.027089,-81.1089178,Moving,34,2
