G,Point Latency,Time Received,Time Captured,MPH,Address,I0,Engine On,I1,I2,I3,I4,I5,GPS,Event Code,Sat,HDOP,RSSI,C,F,Seq,Index,Lat, Lon,Triggered By,Δ Odo hm,Δ Eng min
TX,13 secs,2020-03-10 5:46.36pm,2020-03-10 5:46.23pm,67,I-77 [I-77/I-81/Us-52] Wytheville VA 24382,+,+,-,-,-,-,-,3,8,12,0.8,-53,0,0,14,Serial,36.9565187,-81.0563291,Moving,37,2
TX,13 secs,2020-03-10 5:44.36pm,2020-03-10 5:44.23pm,63,I-77 [I-77/I-81/Us-11/Us-52] Wytheville VA 24382,+,+,-,-,-,-,-,3,8,11,0.8,-63,0,0,13,Serial,36.9426047,-81.0245141,Moving,35,2
TX,12 secs,2020-03-10 5:42.36pm,2020-03-10 5:42.24pm,64,I-77 [I-77/I-81/Us-11/Us-52] Wytheville VA 24382,+,+,-,-,-,-,-,3,8,12,0.8,-59,0,0,12,Serial,36.9373905,-80.9862497,Moving,34,2
TX,13 secs,2020-03-10 5:40.36pm,2020-03-10 5:40.23pm,29, Max Meadows VA 24360,+,+,-,-,-,-,-,3,8,12,0.8,-43,0,0,11,Serial,36.9460702,-80.950528,Moving,1,0
TX,12 secs,2020-03-10 5:40.26pm,2020-03-10 5:40.14pm,6, Max Meadows VA 24360,+,+,-,-,-,-,-,3,5,12,0.8,-46,0,0,10,Serial,36.9462874,-80.9495611,Started Moving,0,0
TX,15 secs,2020-03-10 5:40.21pm,2020-03-10 5:40.06pm,1,1051 Max Meadows Rd [Va-121] Max Meadows VA 24360,+,+,-,-,-,-,-,3,2,12,0.8,-50,0,0,9,Serial,36.9463826,-80.9494752,Stopped Moving,5,2
TX,13 secs,2020-03-10 5:38.36pm,2020-03-10 5:38.23pm,9,235 Fort Chiswell Rd [Us-52] Max Meadows VA 24360,+,+,-,-,-,-,-,3,8,12,0.8,-40,0,0,8,Serial,36.9439874,-80.945181,Moving,2,0
TX,14 secs,2020-03-10 5:37.51pm,2020-03-10 5:37.37pm,2,139 Factory Outlet Dr Max Meadows VA 24360,+,+,-,-,-,-,-,3,8,12,0.8,-46,0,0,7,Serial,36.9449611,-80.9439311,Moving,1,1
TX,15 secs,2020-03-10 5:37.41pm,2020-03-10 5:37.26pm,7,139 Factory Outlet Dr Max Meadows VA 24360,+,+,-,-,-,-,-,3,3,11,0.8,-41,0,0,6,Serial,36.9450013,-80.9442919,Roll,0,0
TX,15 secs,2020-03-10 5:37.26pm,2020-03-10 5:37.11pm,7,139 Factory Outlet Dr Max Meadows VA 24360,+,+,-,-,-,-,-,3,5,12,0.8,-43,0,0,5,Serial,36.9447948,-80.9451233,Started Moving,1,1
TX,14 secs,2020-03-10 5:36.36pm,2020-03-10 5:36.22pm,0,219 Fort Chiswell Rd [Us-52] Max Meadows VA 24360,+,+,-,-,-,-,-,3,37,9,1,-42,0,0,4,Serial,36.9445654,-80.9455297,Ignition On,0,0
TX,11 secs,2020-03-10 5:31.01pm,2020-03-10 5:30.50pm,0,215 Fort Chiswell Rd [Us-52] Max Meadows VA 24360,-,-,-,-,-,-,-,3,0,11,0.8,-42,0,0,3,Serial,36.9445225,-80.9457523,,0,0
TX,16 secs,2020-03-10 5:29.06pm,2020-03-10 5:28.50pm,0,213 Fort Chiswell Rd [Us-52] Max Meadows VA 24360,-,-,-,-,-,-,-,3,0,10,0.8,-41,0,0,2,Serial,36.9445882,-80.9457389,,0,0
