G,Point Latency,Time Received,Time Captured,MPH,Address,I0,Engine On,I1,I2,I3,I4,I5,GPS,Event Code,Sat,HDOP,RSSI,C,F,Seq,Index,Lat, Lon,Triggered By,Δ Odo hm,Δ Eng min
LA,40 secs,2020-03-08 10:25.42pm,2020-03-08 10:25.02pm,0,801 W Old Us-56 [Ks-7] Olathe KS 66061,-,-,-,-,-,-,-,3,41,18,0.6,-56,0,0,5,Serial,38.8657407,-94.8318429,Heartbeat,0,0
LA,4 secs,2020-03-08 10:25.09am,2020-03-08 10:25.05am,0,801 W Old Us-56 [Ks-7] Olathe KS 66061,-,-,-,-,-,-,-,3,41,15,0.8,-58,0,0,4,Serial,38.8657367,-94.831863,Heartbeat,0,0
LA,14 secs,2020-03-07 9:25.05pm,2020-03-07 9:24.51pm,0,801 W Old Us-56 [Ks-7] Olathe KS 66061,-,-,-,-,-,-,-,3,0,16,0.6,-55,0,0,3,Serial,38.8657125,-94.8318469,,0,0
LA,14 secs,2020-03-07 9:23.05pm,2020-03-07 9:22.51pm,0,801 W Old Us-56 [Ks-7] Olathe KS 66061,-,-,-,-,-,-,-,3,0,16,0.6,-55,0,0,2,Serial,38.8657152,-94.8318523,,0,0
LA,8 secs,2020-03-07 9:21.09pm,2020-03-07 9:21.01pm,0,801 W Old Us-56 [Ks-7] Olathe KS 66061,-,-,-,-,-,-,-,1,43,??,0,-55,0,0,1,Serial,38.8657407,-94.831863,System Reboot,0,0
LA,5 secs,2020-03-07 7:02.01pm,2020-03-07 7:01.56pm,0,801 W Old Us-56 [Ks-7] Olathe KS 66061,-,-,-,-,-,-,-,3,41,13,0.8,-55,0,0,552,Serial,38.8657407,-94.831863,Heartbeat,0,0
LA,11 secs,2020-03-07 7:01.57am,2020-03-07 7:01.46am,0,801 W Old Us-56 [Ks-7] Olathe KS 66061,-,-,-,-,-,-,-,3,0,19,0.6,-57,0,0,551,Serial,38.8657407,-94.8318604,,0,0
LA,12 secs,2020-03-07 6:59.57am,2020-03-07 6:59.45am,0,801 W Old Us-56 [Ks-7] Olathe KS 66061,-,-,-,-,-,-,-,3,0,17,0.6,-59,0,0,550,Serial,38.865746,-94.8318536,,0,0
LA,12 secs,2020-03-07 6:57.57am,2020-03-07 6:57.45am,0,801 W Old Us-56 [Ks-7] Olathe KS 66061,-,-,-,-,-,-,-,3,38,18,0.6,-56,0,0,549,Serial,38.8657702,-94.8318376,Ignition Off,0,2
LA,12 secs,2020-03-07 6:56.32am,2020-03-07 6:56.20am,0,801 W Old Us-56 [Ks-7] Olathe KS 66061,+,+,-,-,-,-,-,3,0,18,0.6,-56,0,0,548,Serial,38.8657662,-94.831851,,0,2
LA,12 secs,2020-03-07 6:54.32am,2020-03-07 6:54.20am,0,801 W Old Us-56 [Ks-7] Olathe KS 66061,+,+,-,-,-,-,-,3,0,17,0.6,-57,0,0,547,Serial,38.8657246,-94.8318617,,2,2
LA,13 secs,2020-03-07 6:52.32am,2020-03-07 6:52.19am,0,W Old Us-56 [Ks-7] Olathe KS 66061,+,+,-,-,-,-,-,3,0,18,0.6,-59,0,0,546,Serial,38.8645069,-94.8319529,,1,2
LA,13 secs,2020-03-07 6:50.32am,2020-03-07 6:50.19am,9,W Old Us-56 [Ks-7] Olathe KS 66061,+,+,-,-,-,-,-,3,0,18,0.6,-60,0,0,545,Serial,38.8647134,-94.831973,,1,2
LA,13 secs,2020-03-07 6:48.32am,2020-03-07 6:48.19am,0,801 W Old Us-56 [Ks-7] Olathe KS 66061,+,+,-,-,-,-,-,3,0,14,0.6,-57,0,0,544,Serial,38.865793,-94.8321219,,0,2
LA,12 secs,2020-03-07 6:46.32am,2020-03-07 6:46.20am,0,801 W Old Us-56 [Ks-7] Olathe KS 66061,+,+,-,-,-,-,-,3,0,17,0.6,-59,0,0,543,Serial,38.8658024,-94.8321232,,0,2
LA,13 secs,2020-03-07 6:44.32am,2020-03-07 6:44.19am,0,801 W Old Us-56 [Ks-7] Olathe KS 66061,+,+,-,-,-,-,-,3,0,16,0.6,-64,0,0,542,Serial,38.8657957,-94.8321192,,0,2
LA,13 secs,2020-03-07 6:42.32am,2020-03-07 6:42.19am,0,801 W Old Us-56 [Ks-7] Olathe KS 66061,+,+,-,-,-,-,-,3,0,15,0.6,-60,0,0,541,Serial,38.865793,-94.8321205,,0,2
LA,12 secs,2020-03-07 6:40.32am,2020-03-07 6:40.20am,0,801 W Old Us-56 [Ks-7] Olathe KS 66061,+,+,-,-,-,-,-,3,0,14,0.6,-63,0,0,540,Serial,38.8657916,-94.8321192,,1,2
LA,12 secs,2020-03-07 6:38.32am,2020-03-07 6:38.20am,0,801 W Old Us-56 [Ks-7] Olathe KS 66061,+,+,-,-,-,-,-,3,0,16,0.6,-51,0,0,539,Serial,38.8658104,-94.8321031,,2,1
LA,8 secs,2020-03-07 6:37.02am,2020-03-07 6:36.54am,1,W Old Us-56 [Ks-7] Olathe KS 66061,+,+,-,-,-,-,-,3,2,18,0.6,-59,0,0,538,Serial,38.8663884,-94.8318952,Stopped Moving,1,1
LA,12 secs,2020-03-07 6:36.32am,2020-03-07 6:36.20am,20,801 W Old Us-56 [Ks-7] Olathe KS 66061,+,+,-,-,-,-,-,3,8,17,0.6,-59,0,0,537,Serial,38.8671475,-94.830538,Moving,16,1
LA,9 secs,2020-03-07 6:34.42am,2020-03-07 6:34.33am,12,E Old Us-56 Olathe KS 66061,+,+,-,-,-,-,-,3,5,18,0.6,-60,0,0,536,Serial,38.8677832,-94.8132431,Started Moving,0,0
LA,16 secs,2020-03-07 6:34.40am,2020-03-07 6:34.24am,0,540 E Old Us-56 Olathe KS 66061,+,+,-,-,-,-,-,3,2,17,0.6,-60,0,0,535,Serial,38.8677885,-94.8129374,Stopped Moving,0,1
LA,21 secs,2020-03-07 6:34.40am,2020-03-07 6:34.19am,14,540 E Old Us-56 Olathe KS 66061,+,+,-,-,-,-,-,3,8,18,0.6,-60,0,0,534,Serial,38.8677899,-94.812814,Moving,32,2
LA,12 secs,2020-03-07 6:32.32am,2020-03-07 6:32.20am,68,I-35 [I-35/Us-169/Us-50/Us-56] Olathe KS 66061,+,+,-,-,-,-,-,3,8,18,0.6,-35,0,0,533,Serial,38.8850137,-94.7911015,Moving,39,2
LA,12 secs,2020-03-07 6:30.32am,2020-03-07 6:30.20am,72,I-35 [I-35/Us-169/Us-50/Us-56] Olathe KS 66062,+,+,-,-,-,-,-,3,8,18,0.6,-47,0,0,532,Serial,38.9146762,-94.7693233,Moving,36,2
