G,Point Latency,Time Received,Time Captured,MPH,Address,I0,Engine On,I1,I2,I3,I4,I5,GPS,Event Code,Sat,HDOP,RSSI,C,F,Seq,Index,Lat, Lon,Triggered By,Δ Odo hm,Δ Eng min
LA,10 secs,2020-03-09 10:59.18pm,2020-03-09 10:59.08pm,0,307 Chelsea Rd Monticello MN 55362,-,-,-,-,-,-,-,3,41,14,0.8,-55,0,0,61,Serial,45.2939017,-93.7830334,Heartbeat,0,0
LA,37 secs,2020-03-09 10:59.45am,2020-03-09 10:59.08am,0,307 Chelsea Rd Monticello MN 55362,-,-,-,-,-,-,-,3,41,16,0.6,-50,0,0,60,Serial,45.2938977,-93.7830106,Heartbeat,0,0
LA,5 secs,2020-03-08 10:59.13pm,2020-03-08 10:59.08pm,0,307 Chelsea Rd Monticello MN 55362,-,-,-,-,-,-,-,3,41,13,0.8,-53,0,0,59,Serial,45.293899,-93.7830441,Heartbeat,0,0
LA,9 secs,2020-03-08 10:59.14am,2020-03-08 10:59.05am,0,307 Chelsea Rd Monticello MN 55362,-,-,-,-,-,-,-,3,41,16,0.6,-49,0,0,58,Serial,45.2938923,-93.7830254,Heartbeat,0,0
LA,9 secs,2020-03-07 9:59.15pm,2020-03-07 9:59.06pm,0,307 Chelsea Rd Monticello MN 55362,-,-,-,-,-,-,-,3,41,14,0.8,-56,0,0,57,Serial,45.293891,-93.7830012,Heartbeat,0,0
LA,8 secs,2020-03-07 9:59.13am,2020-03-07 9:59.05am,0,307 Chelsea Rd Monticello MN 55362,-,-,-,-,-,-,-,3,41,17,0.6,-49,0,0,56,Serial,45.2939151,-93.7830455,Heartbeat,0,0
LA,12 secs,2020-03-06 9:59.04pm,2020-03-06 9:58.52pm,0,307 Chelsea Rd Monticello MN 55362,-,-,-,-,-,-,-,3,0,17,0.6,-57,0,0,55,Serial,45.2938762,-93.7830093,,0,0
LA,12 secs,2020-03-06 9:57.04pm,2020-03-06 9:56.52pm,0,307 Chelsea Rd Monticello MN 55362,-,-,-,-,-,-,-,3,0,15,0.6,-58,0,0,54,Serial,45.2938695,-93.7829798,,0,0
LA,14 secs,2020-03-06 9:55.19pm,2020-03-06 9:55.05pm,0,307 Chelsea Rd Monticello MN 55362,-,-,-,-,-,-,-,1,43,??,0,-57,0,0,53,Serial,45.2939044,-93.7830106,System Reboot,0,0
LA,6 secs,2020-03-06 12:04.03pm,2020-03-06 12:03.57pm,0,307 Chelsea Rd Monticello MN 55362,-,-,-,-,-,-,-,3,0,14,0.6,-48,0,0,52,Serial,45.2939044,-93.7830106,,0,0
LA,5 secs,2020-03-06 12:02.03pm,2020-03-06 12:01.58pm,0,307 Chelsea Rd Monticello MN 55362,-,-,-,-,-,-,-,3,0,16,0.6,-48,0,0,51,Serial,45.2939312,-93.7829918,,0,0
LA,53 secs,2020-03-06 12:00.50pm,2020-03-06 11:59.57am,0,307 Chelsea Rd Monticello MN 55362,-,-,-,-,-,-,-,3,38,17,0.6,-48,0,0,50,Serial,45.2939111,-93.7829838,Ignition Off,1,2
LA,5 secs,2020-03-06 11:58.08am,2020-03-06 11:58.03am,1,307 Chelsea Rd Monticello MN 55362,+,+,-,-,-,-,-,3,0,18,0.6,-50,0,0,49,Serial,45.2939634,-93.7831166,,0,2
LA,5 secs,2020-03-06 11:56.07am,2020-03-06 11:56.02am,0,307 Chelsea Rd Monticello MN 55362,+,+,-,-,-,-,-,3,37,15,0.8,-50,0,0,48,Serial,45.2940238,-93.7830576,Ignition On,0,0
LA,5 secs,2020-03-06 11:53.21am,2020-03-06 11:53.16am,0,307 Chelsea Rd Monticello MN 55362,-,-,-,-,-,-,-,3,0,16,0.6,-48,0,0,47,Serial,45.2940104,-93.7830441,,0,0
LA,6 secs,2020-03-06 11:51.22am,2020-03-06 11:51.16am,0,307 Chelsea Rd Monticello MN 55362,-,-,-,-,-,-,-,3,0,17,0.6,-49,0,0,46,Serial,45.294005,-93.783079,,0,0
LA,42 secs,2020-03-06 11:49.57am,2020-03-06 11:49.15am,0,307 Chelsea Rd Monticello MN 55362,-,-,-,-,-,-,-,3,38,17,0.6,-48,0,0,45,Serial,45.2940238,-93.7830763,Ignition Off,0,0
LA,43 secs,2020-03-06 11:49.55am,2020-03-06 11:49.12am,0,307 Chelsea Rd Monticello MN 55362,+,+,-,-,-,-,-,3,2,17,0.6,-48,0,0,44,Serial,45.2940184,-93.7830696,Stopped Moving,2,2
LA,4 secs,2020-03-06 11:47.46am,2020-03-06 11:47.42am,21,349 Chelsea Rd Monticello MN 55362,+,+,-,-,-,-,-,3,8,18,0.6,-50,0,0,43,Serial,45.2928288,-93.7828752,Moving,10,1
LA,4 secs,2020-03-06 11:46.41am,2020-03-06 11:46.37am,12,891 Chelsea Rd Monticello MN 55362,+,+,-,-,-,-,-,3,5,17,0.6,-48,0,0,42,Serial,45.2891877,-93.7709742,Started Moving,0,0
LA,8 secs,2020-03-06 11:46.34am,2020-03-06 11:46.26am,0,Fenning Ave NE [Cr-18] Monticello MN 55362,+,+,-,-,-,-,-,3,2,16,0.6,-49,0,0,41,Serial,45.2894171,-93.7708723,Stopped Moving,4,1
LA,8 secs,2020-03-06 11:45.49am,2020-03-06 11:45.41am,15, Monticello MN 55362,+,+,-,-,-,-,-,3,8,17,0.6,-47,0,0,40,Serial,45.2920497,-93.7701548,Moving,26,2
LA,5 secs,2020-03-06 11:43.46am,2020-03-06 11:43.41am,60,I-94 [I-94/Us-52] Monticello MN 55362,+,+,-,-,-,-,-,3,8,18,0.6,-72,0,0,39,Serial,45.2792435,-93.7430189,Moving,37,2
LA,5 secs,2020-03-06 11:41.46am,2020-03-06 11:41.41am,68,I-94 [I-94/Us-52] Monticello MN 55362,+,+,-,-,-,-,-,3,8,16,0.6,-59,0,0,38,Serial,45.2593844,-93.7064483,Moving,36,2
LA,6 secs,2020-03-06 11:39.48am,2020-03-06 11:39.42am,67,I-94 [I-94/Us-52] Albertville MN 55301,+,+,-,-,-,-,-,3,8,19,0.6,-51,0,0,37,Serial,45.2422679,-93.6662178,Moving,36,2
LA,"1 min, 3 secs",2020-03-06 11:38.45am,2020-03-06 11:37.42am,66,I-94 [I-94/Us-52] St Michael MN 55376,+,+,-,-,-,-,-,3,8,19,0.6,-64,0,0,36,Serial,45.2294214,-93.6259525,Moving,33,2
LA,6 secs,2020-03-06 11:35.48am,2020-03-06 11:35.42am,64,I-94 [I-94/Us-52] Rogers MN 55374,+,+,-,-,-,-,-,3,8,18,0.6,-47,0,0,35,Serial,45.2145901,-93.5899801,Moving,38,2
LA,7 secs,2020-03-06 11:33.48am,2020-03-06 11:33.41am,69,I-94 [I-94/Us-52] Rogers MN 55374,+,+,-,-,-,-,-,3,8,19,0.6,-44,0,0,34,Serial,45.194664,-93.551831,Moving,37,2
LA,7 secs,2020-03-06 11:31.48am,2020-03-06 11:31.41am,69,I-94 [I-94/Us-52] Rogers MN 55374,+,+,-,-,-,-,-,3,8,19,0.6,-70,0,0,33,Serial,45.1679532,-93.5261515,Moving,42,2
LA,3 secs,2020-03-06 11:29.31am,2020-03-06 11:29.28am,71,I-94 [I-94/Us-52] Maple Grove MN 55311,+,+,-,-,-,-,-,3,8,18,0.6,-43,0,0,32,Serial,45.1386219,-93.4946678,Moving,36,2
LA,32 secs,2020-03-06 11:27.59am,2020-03-06 11:27.27am,66,I-94 [I-94/Us-52] Osseo MN 55369,+,+,-,-,-,-,-,3,8,18,0.6,-64,0,0,31,Serial,45.1110247,-93.4706352,Moving,35,2
LA,6 secs,2020-03-06 11:25.33am,2020-03-06 11:25.27am,63,I-494 Osseo MN 55369,+,+,-,-,-,-,-,3,8,18,0.6,-63,0,0,30,Serial,45.0865589,-93.4467903,Moving,36,2
LA,6 secs,2020-03-06 11:23.33am,2020-03-06 11:23.27am,67,I-494 Minneapolis MN 55442,+,+,-,-,-,-,-,3,8,18,0.6,-46,0,0,29,Serial,45.0548472,-93.4516934,Moving,36,2
LA,5 secs,2020-03-06 11:21.32am,2020-03-06 11:21.27am,64,I-494 Minneapolis MN 55441,+,+,-,-,-,-,-,3,8,18,0.6,-45,0,0,28,Serial,45.0226955,-93.4540363,Moving,40,3
LA,6 secs,2020-03-06 11:19.17am,2020-03-06 11:19.11am,64,I-494 Minneapolis MN 55441,+,+,-,-,-,-,-,3,8,20,0.6,-47,0,0,27,Serial,44.9869792,-93.4596462,Moving,36,2
LA,8 secs,2020-03-06 11:17.17am,2020-03-06 11:17.09am,64,I-494 Wayzata MN 55391,+,+,-,-,-,-,-,3,8,20,0.6,-49,0,0,26,Serial,44.9548209,-93.4595536,Moving,35,2
LA,4 secs,2020-03-06 11:15.17am,2020-03-06 11:15.13am,66,I-494 Minnetonka MN 55345,+,+,-,-,-,-,-,3,8,18,0.6,-54,0,0,25,Serial,44.9244958,-93.4513662,Moving,35,2
LA,5 secs,2020-03-06 11:13.17am,2020-03-06 11:13.12am,66,I-494 Minnetonka MN 55345,+,+,-,-,-,-,-,3,8,20,0.6,-46,0,0,24,Serial,44.8931971,-93.4436092,Moving,35,2
LA,6 secs,2020-03-06 11:11.17am,2020-03-06 11:11.11am,63,I-494 [I-494/Mn-5] Eden Prairie MN 55344,+,+,-,-,-,-,-,3,8,20,0.6,-57,0,0,23,Serial,44.8641381,-93.428389,Moving,30,2
