G,Point Latency,Time Received,Time Captured,MPH,Address,I0,Engine On,I1,I2,I3,I4,I5,GPS,Event Code,Sat,HDOP,RSSI,C,F,Seq,Index,Lat, Lon,Triggered By,Δ Odo hm,Δ Eng min
LA,12 secs,2020-03-08 9:42.19am,2020-03-08 9:42.07am,0,11155 NW Airworld Dr Kansas City MO 64153,-,-,-,-,-,-,-,3,41,16,0.6,-72,0,0,3997,Serial,39.2941646,-94.6749793,Heartbeat,0,0
LA,6 secs,2020-03-07 8:42.14pm,2020-03-07 8:42.08pm,0,11155 NW Airworld Dr Kansas City MO 64153,-,-,-,-,-,-,-,3,41,13,0.8,-72,0,0,3996,Serial,39.2941968,-94.6749699,Heartbeat,0,0
LA,9 secs,2020-03-07 8:42.10am,2020-03-07 8:42.01am,0,11111 NW Airworld Dr Kansas City MO 64153,-,-,-,-,-,-,-,3,0,15,0.8,-74,0,0,3995,Serial,39.2941995,-94.6749592,,0,0
LA,9 secs,2020-03-07 8:40.10am,2020-03-07 8:40.01am,0,11111 NW Airworld Dr Kansas City MO 64153,-,-,-,-,-,-,-,3,0,16,0.6,-69,0,0,3994,Serial,39.2941686,-94.674935,,0,0
LA,9 secs,2020-03-07 8:38.10am,2020-03-07 8:38.01am,0,11111 NW Airworld Dr Kansas City MO 64153,-,-,-,-,-,-,-,3,38,16,0.6,-74,0,0,3993,Serial,39.2941834,-94.6749243,Ignition Off,0,0
LA,8 secs,2020-03-07 8:37.55am,2020-03-07 8:37.47am,0,11111 NW Airworld Dr Kansas City MO 64153,+,+,-,-,-,-,-,3,0,16,0.6,-74,0,0,3992,Serial,39.2941927,-94.6749162,,0,2
LA,8 secs,2020-03-07 8:35.55am,2020-03-07 8:35.47am,0,11111 NW Airworld Dr Kansas City MO 64153,+,+,-,-,-,-,-,3,0,16,0.6,-73,0,0,3991,Serial,39.2941887,-94.6749364,,0,2
LA,43 secs,2020-03-07 8:34.30am,2020-03-07 8:33.47am,0,11111 NW Airworld Dr Kansas City MO 64153,+,+,-,-,-,-,-,3,0,16,0.6,-73,0,0,3990,Serial,39.2941686,-94.6749471,,1,2
LA,7 secs,2020-03-07 8:31.54am,2020-03-07 8:31.47am,1,11111 NW Airworld Dr Kansas City MO 64153,+,+,-,-,-,-,-,3,0,17,0.6,-68,0,0,3989,Serial,39.2943175,-94.674813,,1,2
LA,7 secs,2020-03-07 8:29.54am,2020-03-07 8:29.47am,1,11155 NW Airworld Dr Kansas City MO 64153,+,+,-,-,-,-,-,3,0,17,0.6,-72,0,0,3988,Serial,39.2942974,-94.6751281,,0,2
