G,Point Latency,Time Received,Time Captured,MPH,Address,I0,Engine On,I1,I2,I3,I4,I5,GPS,Event Code,Sat,HDOP,RSSI,C,F,Seq,Index,Lat, Lon,Triggered By,Δ Odo hm,Δ Eng min
LA,10 secs,2020-03-08 3:50.53pm,2020-03-08 3:50.43pm,0,9900 E 51st Ave Denver CO 80238,-,-,-,-,-,-,-,3,41,13,0.8,-76,0,0,2753,Serial,39.7893755,-104.8793247,Heartbeat,0,0
LA,6 secs,2020-03-08 3:50.50am,2020-03-08 3:50.44am,0,9900 E 51st Ave Denver CO 80238,-,-,-,-,-,-,-,3,41,15,0.6,-76,0,0,2752,Serial,39.7893768,-104.8793757,Heartbeat,0,0
LA,9 secs,2020-03-07 2:50.46pm,2020-03-07 2:50.37pm,0,9900 E 51st Ave Denver CO 80238,-,-,-,-,-,-,-,3,0,16,0.6,-74,0,0,2751,Serial,39.7893862,-104.8793113,,0,0
LA,9 secs,2020-03-07 2:48.46pm,2020-03-07 2:48.37pm,0,9900 E 51st Ave Denver CO 80238,-,-,-,-,-,-,-,3,0,16,0.6,-73,0,0,2750,Serial,39.7894037,-104.8793086,,0,0
LA,9 secs,2020-03-07 2:46.46pm,2020-03-07 2:46.37pm,0,9900 E 51st Ave Denver CO 80238,-,-,-,-,-,-,-,3,38,17,0.6,-78,0,0,2749,Serial,39.7894157,-104.8793113,Ignition Off,0,1
LA,9 secs,2020-03-07 2:45.51pm,2020-03-07 2:45.42pm,1,9900 E 51st Ave Denver CO 80238,+,+,-,-,-,-,-,3,2,16,0.6,-74,0,0,2748,Serial,39.7895431,-104.8793878,Stopped Moving,1,0
LA,7 secs,2020-03-07 2:45.41pm,2020-03-07 2:45.34pm,15,9900 E 51st Ave Denver CO 80238,+,+,-,-,-,-,-,3,3,16,0.6,-74,0,0,2747,Serial,39.7892615,-104.8792751,Roll,1,1
LA,7 secs,2020-03-07 2:45.06pm,2020-03-07 2:44.59pm,9,Dallas St Denver CO 80238,+,+,-,-,-,-,-,3,5,17,0.6,-72,0,0,2746,Serial,39.7882691,-104.8779957,Started Moving,0,0
LA,8 secs,2020-03-07 2:45.06pm,2020-03-07 2:44.58pm,9,Dallas St Denver CO 80238,+,+,-,-,-,-,-,3,0,17,0.6,-72,0,0,2745,Serial,39.7882691,-104.8779957,,1,1
LA,7 secs,2020-03-07 2:43.41pm,2020-03-07 2:43.34pm,0,Dallas St Denver CO 80238,+,+,-,-,-,-,-,3,2,17,0.6,-66,0,0,2744,Serial,39.7882034,-104.8779581,Stopped Moving,1,1
