G,Point Latency,Time Received,Time Captured,MPH,Address,I0,Engine On,I1,I2,I3,I4,I5,GPS,Event Code,Sat,HDOP,RSSI,C,F,Seq,Index,Lat, Lon,Triggered By,? Odo hm,? Eng min
LA,52 secs,2020-02-16 5:51.14pm,2020-02-16 5:50.22pm,0,300 Cash Memorial Blvd Forest Park GA 30297,-,-,-,-,-,-,-,3,41,14,0.8,-78,0,0,7453,Serial,33.6087046,-84.3792791,Heartbeat,0,0
LA,7 secs,2020-02-16 5:45.30am,2020-02-16 5:45.23am,0,300 Cash Memorial Blvd Forest Park GA 30297,-,-,-,-,-,-,-,3,41,5,3.7,-84,0,0,7452,Serial,33.6086482,-84.3793127,Heartbeat,0,0
LA,40 secs,2020-02-15 5:39.16pm,2020-02-15 5:38.36pm,0,300 Cash Memorial Blvd Forest Park GA 30297,-,-,-,-,-,-,-,3,41,6,2,-80,0,0,7451,Serial,33.6087837,-84.3792483,Heartbeat,0,0
LA,9 secs,2020-02-15 5:38.08am,2020-02-15 5:37.59am,0,300 Cash Memorial Blvd Forest Park GA 30297,-,-,-,-,-,-,-,3,0,14,0.6,-84,0,0,7450,Serial,33.6087086,-84.3792443,,0,0
LA,8 secs,2020-02-15 5:36.08am,2020-02-15 5:36.00am,0,300 Cash Memorial Blvd Forest Park GA 30297,-,-,-,-,-,-,-,3,0,14,0.8,-81,0,0,7449,Serial,33.6087676,-84.379259,,0,0
LA,50 secs,2020-02-15 5:34.48am,2020-02-15 5:33.58am,0,300 Cash Memorial Blvd Forest Park GA 30297,-,-,-,-,-,-,-,3,38,12,0.8,-82,0,0,7448,Serial,33.6087502,-84.379251,Ignition Off,0,0
LA,7 secs,2020-02-15 5:33.43am,2020-02-15 5:33.36am,0,300 Cash Memorial Blvd Forest Park GA 30297,+,+,-,-,-,-,-,3,0,13,0.8,-85,0,0,7447,Serial,33.6087502,-84.379251,,1,0
LA,7 secs,2020-02-15 5:31.43am,2020-02-15 5:31.36am,0,300 Cash Memorial Blvd Forest Park GA 30297,+,+,-,-,-,-,-,3,0,11,1.1,-82,0,0,7446,Serial,33.6089513,-84.3792992,,2,0
LA,7 secs,2020-02-15 5:29.43am,2020-02-15 5:29.36am,9,304 Cash Memorial Blvd Forest Park GA 30297,+,+,-,-,-,-,-,3,0,11,0.8,-77,0,0,7445,Serial,33.6089688,-84.3803306,,14,0
LA,7 secs,2020-02-15 5:27.43am,2020-02-15 5:27.36am,12,201 Forest Pkwy [Ga-331] Forest Park GA 30297,+,+,-,-,-,-,-,3,0,16,0.6,-60,0,0,7444,Serial,33.6196721,-84.3834312,,12,0
LA,7 secs,2020-02-15 5:25.43am,2020-02-15 5:25.36am,0,Forest Pkwy [Ga-331] Forest Park GA 30297,+,+,-,-,-,-,-,3,0,17,0.6,-49,0,0,7443,Serial,33.6179917,-84.3962803,,14,0
LA,27 secs,2020-02-15 5:24.02am,2020-02-15 5:23.35am,22,780 Sullivan Rd Atlanta GA 30349,+,+,-,-,-,-,-,3,0,13,0.8,-84,0,0,7442,Serial,33.6175666,-84.4095049,,8,0
LA,6 secs,2020-02-15 5:21.43am,2020-02-15 5:21.37am,26,4823 Clark Howell Hwy Atlanta GA 30349,+,+,-,-,-,-,-,3,0,13,0.8,-71,0,0,7441,Serial,33.6236767,-84.4087003,,4,0
LA,7 secs,2020-02-15 5:19.43am,2020-02-15 5:19.36am,3,4772 Clark Howell Hwy Atlanta GA 30349,+,+,-,-,-,-,-,3,0,9,1.1,-66,0,0,7440,Serial,33.6246624,-84.408074,,3,0
LA,8 secs,2020-02-15 5:17.43am,2020-02-15 5:17.35am,5, Atlanta GA 30349,+,+,-,-,-,-,-,3,0,9,1,-66,0,0,7439,Serial,33.6247187,-84.4082282,,7,0
LA,8 secs,2020-02-15 5:15.43am,2020-02-15 5:15.35am,1, Atlanta GA 30349,+,+,-,-,-,-,-,3,0,11,0.8,-65,0,0,7438,Serial,33.6247723,-84.4084133,,5,0
LA,8 secs,2020-02-15 5:13.43am,2020-02-15 5:13.35am,1,4772 Clark Howell Hwy Atlanta GA 30349,+,+,-,-,-,-,-,3,0,10,1.1,-69,0,0,7437,Serial,33.6246812,-84.4081558,,11,0
LA,7 secs,2020-02-15 5:11.42am,2020-02-15 5:11.35am,12,407 85 Cir Atlanta GA 30349,+,+,-,-,-,-,-,3,0,14,0.8,-55,0,0,7436,Serial,33.6219279,-84.4029483,,32,0
LA,6 secs,2020-02-15 5:09.42am,2020-02-15 5:09.36am,72,I-75 Atlanta GA 30354,+,+,-,-,-,-,-,3,0,10,1.2,-69,0,0,7435,Serial,33.6495506,-84.3972419,,38,0
LA,7 secs,2020-02-15 5:07.42am,2020-02-15 5:07.35am,61, Atlanta GA 30315,+,+,-,-,-,-,-,3,0,14,0.6,-66,0,0,7434,Serial,33.6835221,-84.3991181,,27,0
LA,6 secs,2020-02-15 5:05.42am,2020-02-15 5:05.36am,14,3038 Lakewood Ave SW Atlanta GA 30344,+,+,-,-,-,-,-,3,0,14,0.6,-55,0,0,7433,Serial,33.6972523,-84.4179499,,6,0
LA,6 secs,2020-02-15 5:03.42am,2020-02-15 5:03.36am,15,Milledge St Atlanta GA 30344,+,+,-,-,-,-,-,3,0,13,0.8,-45,0,0,7432,Serial,33.6945768,-84.4212785,,0,0
LA,49 secs,2020-02-15 5:02.24am,2020-02-15 5:01.35am,0,Milledge St Atlanta GA 30344,+,+,-,-,-,-,-,3,0,14,0.8,-42,0,0,7431,Serial,33.6944696,-84.4216647,,0,0
LA,7 secs,2020-02-15 4:59.42am,2020-02-15 4:59.35am,0,Milledge St Atlanta GA 30344,+,+,-,-,-,-,-,3,0,14,0.6,-42,0,0,7430,Serial,33.6944628,-84.4216621,,0,0
LA,7 secs,2020-02-15 4:57.42am,2020-02-15 4:57.35am,0,Milledge St Atlanta GA 30344,+,+,-,-,-,-,-,3,0,12,0.8,-42,0,0,7429,Serial,33.6944561,-84.4216567,,1,0
LA,7 secs,2020-02-15 4:55.42am,2020-02-15 4:55.35am,0,2103 Sunshine Way Atlanta GA 30344,+,+,-,-,-,-,-,3,0,10,1.1,-42,0,0,7428,Serial,33.6945849,-84.4217264,,0,0
LA,6 secs,2020-02-15 4:53.42am,2020-02-15 4:53.36am,6,2106 Sunshine Way Atlanta GA 30344,+,+,-,-,-,-,-,3,0,13,0.8,-50,0,0,7427,Serial,33.694609,-84.4217921,,11,0
LA,7 secs,2020-02-15 4:51.42am,2020-02-15 4:51.35am,56,Langford Pkwy [Ga-166] Atlanta GA 30315,+,+,-,-,-,-,-,3,0,13,0.8,-60,0,0,7426,Serial,33.6970753,-84.4137871,,33,0
LA,7 secs,2020-02-15 4:49.42am,2020-02-15 4:49.35am,72, Atlanta GA 30315,+,+,-,-,-,-,-,3,0,12,0.8,-55,0,0,7425,Serial,33.7187342,-84.3976134,,33,0
LA,8 secs,2020-02-15 4:47.43am,2020-02-15 4:47.35am,56,Ramp 57 Atlanta GA 30312,+,+,-,-,-,-,-,3,0,15,0.6,-47,0,0,7424,Serial,33.7448803,-84.397038,,35,0
LA,6 secs,2020-02-15 4:45.42am,2020-02-15 4:45.36am,72,Ralph David Abernathy Fwy [I-20/Ga-402] Atlanta GA 30310,+,+,-,-,-,-,-,3,0,13,0.8,-63,0,0,7423,Serial,33.7467498,-84.4319309,,39,0
LA,7 secs,2020-02-15 4:43.42am,2020-02-15 4:43.35am,69,Ralph David Abernathy Fwy [I-20/Ga-402] Atlanta GA 30311,+,+,-,-,-,-,-,3,0,14,0.8,-82,0,0,7422,Serial,33.7574814,-84.4699391,,38,0
LA,7 secs,2020-02-15 4:41.42am,2020-02-15 4:41.35am,71,Tom Murphy Fwy [I-20/Ga-402] Atlanta GA 30331,+,+,-,-,-,-,-,3,0,13,0.8,-69,0,0,7421,Serial,33.7654891,-84.5086166,,39,0
LA,7 secs,2020-02-15 4:39.42am,2020-02-15 4:39.35am,74,Tom Murphy Fwy [I-20/Ga-402] Austell GA 30168,+,+,-,-,-,-,-,3,0,13,0.8,-61,0,0,7420,Serial,33.7723073,-84.5490616,,39,0
LA,7 secs,2020-02-15 4:37.43am,2020-02-15 4:37.36am,68,Tom Murphy Fwy [I-20/Ga-402] Austell GA 30168,+,+,-,-,-,-,-,3,0,13,0.6,-71,0,0,7419,Serial,33.7758652,-84.5908974,,38,0
