G,Point Latency,Time Received,Time Captured,MPH,Address,I0,Engine On,I1,I2,I3,I4,I5,GPS,Event Code,Sat,HDOP,RSSI,C,F,Seq,Index,"Lat, Lon",Triggered By,Δ Odo hm,Δ Eng min
LA,9 secs,2020-02-16 2:05.08pm,2020-02-16 2:04.59pm,0,5340 Old Dixie Hwy [Us-19/Us-41/Ga-3] Forest Park GA 30297,+,+,-,-,-,-,-,3,37,16,0.6,-75,0,0,2689,Serial,"33.6094154,-84.3809434",Ignition On,0,0
LA,6 secs,2020-02-16 2:05.03pm,2020-02-16 2:04.57pm,0,5340 Old Dixie Hwy [Us-19/Us-41/Ga-3] Forest Park GA 30297,-,-,-,-,-,-,-,3,0,16,0.6,-75,0,0,2688,Serial,"33.609414,-84.3809434",,0,0
LA,7 secs,2020-02-16 2:03.03pm,2020-02-16 2:02.56pm,0,5340 Old Dixie Hwy [Us-19/Us-41/Ga-3] Forest Park GA 30297,-,-,-,-,-,-,-,3,38,17,0.6,-75,0,0,2687,Serial,"33.6093993,-84.380918",Ignition Off,0,0
LA,10 secs,2020-02-16 2:02.48pm,2020-02-16 2:02.38pm,0,5340 Old Dixie Hwy [Us-19/Us-41/Ga-3] Forest Park GA 30297,+,+,-,-,-,-,-,3,37,17,0.6,-76,0,0,2686,Serial,"33.6094113,-84.3808978",Ignition On,0,0
LA,21 secs,2020-02-16 2:02.43pm,2020-02-16 2:02.22pm,0,5340 Old Dixie Hwy [Us-19/Us-41/Ga-3] Forest Park GA 30297,+,+,-,-,-,-,-,3,38,18,0.6,-78,0,0,2685,Serial,"33.6094167,-84.3809099",Ignition Off,0,0
LA,23 secs,2020-02-16 2:02.43pm,2020-02-16 2:02.20pm,0,5310 Old Dixie Hwy [Us-19/Us-41/Ga-3] Forest Park GA 30297,+,+,-,-,-,-,-,3,37,16,0.6,-71,0,0,2684,Serial,"33.6093362,-84.3809247",Ignition On,0,0
LA,55 secs,2020-02-15 8:18.58pm,2020-02-15 8:18.03pm,1,5310 Old Dixie Hwy [Us-19/Us-41/Ga-3] Forest Park GA 30297,-,-,-,-,-,-,-,3,41,10,1,-76,0,0,2683,Serial,"33.6093671,-84.3809515",Heartbeat,0,0
LA,5 secs,2020-02-15 8:17.44am,2020-02-15 8:17.39am,0,5310 Old Dixie Hwy [Us-19/Us-41/Ga-3] Forest Park GA 30297,-,-,-,-,-,-,-,3,0,14,0.8,-72,0,0,2682,Serial,"33.6093564,-84.3809005",,0,0
LA,5 secs,2020-02-15 8:15.44am,2020-02-15 8:15.39am,0,5310 Old Dixie Hwy [Us-19/Us-41/Ga-3] Forest Park GA 30297,-,-,-,-,-,-,-,3,0,15,0.8,-77,0,0,2681,Serial,"33.6093496,-84.3809314",,0,0
LA,5 secs,2020-02-15 8:13.44am,2020-02-15 8:13.39am,0,5310 Old Dixie Hwy [Us-19/Us-41/Ga-3] Forest Park GA 30297,-,-,-,-,-,-,-,3,38,15,0.8,-76,0,0,2680,Serial,"33.6093724,-84.3809086",Ignition Off,0,2
LA,5 secs,2020-02-15 8:12.29am,2020-02-15 8:12.24am,0,5310 Old Dixie Hwy [Us-19/Us-41/Ga-3] Forest Park GA 30297,+,+,-,-,-,-,-,3,0,15,0.6,-75,0,0,2679,Serial,"33.6093872,-84.3808844",,1,2
LA,5 secs,2020-02-15 8:10.29am,2020-02-15 8:10.24am,0,5310 Old Dixie Hwy [Us-19/Us-41/Ga-3] Forest Park GA 30297,+,+,-,-,-,-,-,3,0,15,0.8,-75,0,0,2678,Serial,"33.6093872,-84.3808911",,0,2
LA,5 secs,2020-02-15 8:08.29am,2020-02-15 8:08.24am,0,5310 Old Dixie Hwy [Us-19/Us-41/Ga-3] Forest Park GA 30297,+,+,-,-,-,-,-,3,0,18,0.6,-74,0,0,2677,Serial,"33.609355,-84.3808362",,0,2
LA,5 secs,2020-02-15 8:06.29am,2020-02-15 8:06.24am,0,5310 Old Dixie Hwy [Us-19/Us-41/Ga-3] Forest Park GA 30297,+,+,-,-,-,-,-,3,0,16,0.6,-77,0,0,2676,Serial,"33.6093349,-84.3809153",,0,2
LA,5 secs,2020-02-15 8:04.29am,2020-02-15 8:04.24am,0,5310 Old Dixie Hwy [Us-19/Us-41/Ga-3] Forest Park GA 30297,+,+,-,-,-,-,-,3,0,17,0.6,-77,0,0,2675,Serial,"33.6093765,-84.3808777",,0,2
LA,5 secs,2020-02-15 8:02.29am,2020-02-15 8:02.24am,0,5310 Old Dixie Hwy [Us-19/Us-41/Ga-3] Forest Park GA 30297,+,+,-,-,-,-,-,3,0,15,0.8,-79,0,0,2674,Serial,"33.6093966,-84.3808777",,0,2
