G,"Point Latency","Time Received","Time Captured",MPH,Address,I0,"Engine On",I1,I2,I3,I4,I5,GPS,"Event Code",Sat,HDOP,RSSI,C,F,Seq,Index,"Lat, Lon","Triggered By","Δ Odo hm","Δ Eng min"
"LA","4 secs","2020-03-13 10:05.29am","2020-03-13 10:05.25am",0," Elko NV 89801","-","-","-","-","-","-","-",3,0,16,"0.6","-75",0,0,755,"Serial","40.8807383,-115.7273481","",0,0
"LA","4 secs","2020-03-13 10:03.29am","2020-03-13 10:03.25am",0," Elko NV 89801","-","-","-","-","-","-","-",3,0,16,"0.6","-76",0,0,754,"Serial","40.8807342,-115.7273467","",0,0
"LA","3 secs","2020-03-13 10:01.28am","2020-03-13 10:01.25am",0," Elko NV 89801","-","-","-","-","-","-","-",3,38,18,"0.6","-74",0,0,753,"Serial","40.8807302,-115.7273454","Ignition Off",0,1
"LA","5 secs","2020-03-13 10:00.43am","2020-03-13 10:00.38am",1," Elko NV 89801","+","+","-","-","-","-","-",3,2,18,"0.6","-71",0,0,752,"Serial","40.8807315,-115.7273709","Stopped Moving",3,1
"LA","4 secs","2020-03-13 9:59.43am","2020-03-13 9:59.39am",14,"Youth Center Dr Elko NV 89801","+","+","-","-","-","-","-",3,8,17,"0.6","-59",0,0,751,"Serial","40.8787615,-115.7255872","Moving",10,5
"LA","3 secs","2020-03-13 9:57.43am","2020-03-13 9:57.40am",38,"6192 Idaho St Elko NV 89801","+","+","-","-","-","-","-",3,8,19,"0.6","-66",0,0,750,"Serial","40.8779501,-115.7188106","Moving",20,2
"LA","7 secs","2020-03-13 9:55.53am","2020-03-13 9:55.46am",7,"4100 Idaho St Elko NV 89801","+","+","-","-","-","-","-",3,5,19,"0.6","-60",0,0,749,"Serial","40.8644894,-115.733151","Started Moving",0,0
"LA","3 secs","2020-03-13 9:55.43am","2020-03-13 9:55.40am",0," Elko NV 89801","+","+","-","-","-","-","-",3,0,18,"0.6","-62",0,0,748,"Serial","40.8644733,-115.7333991","",0,0
"LA","6 secs","2020-03-13 9:55.18am","2020-03-13 9:55.12am",0," Elko NV 89801","+","+","-","-","-","-","-",3,2,16,"0.6","-60",0,0,747,"Serial","40.8644774,-115.7333965","Stopped Moving",1,1
"LA","12 secs","2020-03-13 9:54.48am","2020-03-13 9:54.36am",9," Elko NV 89801","+","+","-","-","-","-","-",3,5,18,"0.6","-53",0,0,746,"Serial","40.8653169,-115.7346383","Started Moving",1,0
"LA","5 secs","2020-03-13 9:54.33am","2020-03-13 9:54.28am",2,"4216 Ruby Vista Dr Elko NV 89801","+","+","-","-","-","-","-",3,2,16,"0.6","-55",0,0,745,"Serial","40.8655261,-115.7345753","Stopped Moving",2,0
"LA","11 secs","2020-03-13 9:54.13am","2020-03-13 9:54.02am",20,"4216 Ruby Vista Dr Elko NV 89801","+","+","-","-","-","-","-",3,3,16,"0.6","-47",0,0,744,"Serial","40.8669812,-115.7328962","Roll",1,1
"LA","2 secs","2020-03-13 9:53.53am","2020-03-13 9:53.51am",10,"4224 Ruby Vista Dr Elko NV 89801","+","+","-","-","-","-","-",3,5,15,"0.6","-44",0,0,743,"Serial","40.8675029,-115.7323155","Started Moving",0,0
"LA","4 secs","2020-03-13 9:53.43am","2020-03-13 9:53.39am",5,"4224 Ruby Vista Dr Elko NV 89801","+","+","-","-","-","-","-",3,37,18,"0.6","-57",0,0,742,"Serial","40.8678851,-115.7320299","Ignition On",0,0
"LA","12 secs","2020-03-13 9:52.08am","2020-03-13 9:51.56am",0,"4224 Ruby Vista Dr Elko NV 89801","-","-","-","-","-","-","-",3,0,16,"0.6","-52",0,0,741,"Serial","40.8679602,-115.7323061","",0,0
"LA","7 secs","2020-03-13 9:50.02am","2020-03-13 9:49.55am",0,"4224 Ruby Vista Dr Elko NV 89801","-","-","-","-","-","-","-",3,0,17,"0.6","-56",0,0,740,"Serial","40.8679535,-115.7322941","",0,0
"LA","7 secs","2020-03-13 9:48.02am","2020-03-13 9:47.55am",0,"4224 Ruby Vista Dr Elko NV 89801","-","-","-","-","-","-","-",3,38,18,"0.6","-56",0,0,739,"Serial","40.8679535,-115.7322967","Ignition Off",0,1
"LA","10 secs","2020-03-13 9:47.07am","2020-03-13 9:46.57am",7,"4224 Ruby Vista Dr Elko NV 89801","+","+","-","-","-","-","-",3,0,17,"0.6","-65",0,0,738,"Serial","40.8680058,-115.7323678","",2,3
"LA","9 secs","2020-03-13 9:45.02am","2020-03-13 9:44.53am",0," Elko NV 89801","+","+","-","-","-","-","-",3,0,18,"0.6","-76",0,0,737,"Serial","40.8689271,-115.7322525","",0,2
